# dt (sec)	Amp1 (V)	Width1 (s)	Amp2 (V)	Width2 (s)
#
2.716800e-05	   0.60663	6.566753e-08	   0.59091	1.425349e-07
1.916400e-05	   0.71790	6.808757e-08	   0.60022	1.438782e-07
2.912800e-05	   0.70261	6.787969e-08	   0.58639	1.421193e-07
9.868000e-06	   0.71327	6.766558e-08	   0.57612	1.434719e-07
6.168000e-06	   0.56773	6.012876e-08	   0.59012	1.434683e-07
3.421200e-05	   0.73484	7.012853e-08	   0.58723	1.419320e-07
1.768800e-05	   0.62333	6.080685e-08	   0.57588	1.418508e-07
1.043600e-05	   0.72538	6.394240e-08	   0.58916	1.431939e-07
1.356000e-05	   0.68427	6.642356e-08	   0.57550	1.408968e-07
2.520800e-05	   0.70185	6.582664e-08	   0.58153	1.427765e-07
1.938800e-05	   0.65722	6.316722e-08	   0.58273	1.431349e-07
8.032000e-06	   0.69755	6.588480e-08	   0.57710	1.422353e-07
2.825200e-05	   0.57935	6.536665e-08	   0.58957	1.425234e-07
1.592400e-05	   0.72344	6.684289e-08	   0.58724	1.425914e-07
1.784800e-05	   0.68340	6.374661e-08	   0.60329	1.436695e-07
1.762400e-05	   0.70990	6.713396e-08	   0.59082	1.436388e-07
3.363600e-05	   0.68473	6.507097e-08	   0.59574	1.422719e-07
1.215600e-05	   0.66607	6.760977e-08	   0.58923	1.442591e-07
4.892000e-06	   0.68336	6.462660e-08	   0.58179	1.425585e-07
6.792000e-06	   0.74309	6.935355e-08	   0.58870	1.430652e-07
1.371600e-05	   0.80722	7.160861e-08	   0.60784	1.442565e-07
1.023200e-05	   0.72884	6.573059e-08	   0.59015	1.431987e-07
5.820000e-06	   0.65154	6.687321e-08	   0.58909	1.424059e-07
2.368800e-05	   0.67869	6.463794e-08	   0.60804	1.438562e-07
2.642400e-05	   0.63432	6.435269e-08	   0.59279	1.440111e-07
6.984000e-06	   0.64761	6.718866e-08	   0.58889	1.435652e-07
3.183600e-05	   0.67090	6.476607e-08	   0.58935	1.427270e-07
7.680000e-06	   0.71017	6.701453e-08	   0.58613	1.419281e-07
1.714400e-05	   0.70194	6.503922e-08	   0.58803	1.434265e-07
5.908000e-06	   0.68061	6.929453e-08	   0.58781	1.425087e-07
1.096000e-05	   0.69908	6.300514e-08	   0.59095	1.438943e-07
3.405200e-05	   0.75514	6.695547e-08	   0.56634	1.436314e-07
3.072800e-05	   0.63423	6.362337e-08	   0.58926	1.433148e-07
1.684000e-06	   0.74782	6.937698e-08	   0.59577	1.433409e-07
6.336000e-06	   0.67078	6.552584e-08	   0.59033	1.440403e-07
2.095600e-05	   0.62322	6.296860e-08	   0.59925	1.430108e-07
1.988400e-05	   0.67998	6.884011e-08	   0.58887	1.422807e-07
3.240400e-05	   0.76853	7.328547e-08	   0.59050	1.426432e-07
8.856000e-06	   0.65297	6.534602e-08	   0.58578	1.435203e-07
