Trigger Count=16175	Output Count=1359	Elapsed Time=05:00.001	Number of Pulses CH0=1	Number of Pulses CH1=1
te (Hz)=2.50E+8	Min record length=142	Trigger level (V)=0.1200	Channel 0 threshold (V)=0.0250	Channel 1 threshold (V)=0.0250	Range (microseconds)=0.5000	Pulse 2 delay (microseconds)=0.0000	Lower cut-off frequency (Hz)=3.00E+7
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
2.800000E-8	0.205531	3.304887E-8	0.000000	0.000000	0.000000	7.200000E-8	0.044610	3.692101E-8	0.000000	0.000000	0.000000
3.600000E-8	0.160618	3.530293E-8	0.000000	0.000000	0.000000	6.800000E-8	0.445752	3.756736E-8	0.000000	0.000000	0.000000
2.800000E-8	0.181731	3.785067E-8	0.000000	0.000000	0.000000	5.600000E-8	0.298553	4.220548E-8	0.000000	0.000000	0.000000
2.800000E-8	0.153717	4.412607E-8	0.000000	0.000000	0.000000	5.600000E-8	0.432572	4.225286E-8	0.000000	0.000000	0.000000
4.400000E-8	0.156872	2.703446E-8	0.000000	0.000000	0.000000	7.200000E-8	0.088868	4.520712E-8	0.000000	0.000000	0.000000
2.000000E-8	0.226470	3.839163E-8	0.000000	0.000000	0.000000	5.600000E-8	0.118855	4.745710E-8	0.000000	0.000000	0.000000
2.000000E-8	0.432277	3.137302E-8	0.000000	0.000000	0.000000	1.000000E-7	0.023600	5.343509E-8	0.000000	0.000000	0.000000
1.200000E-8	0.426455	3.354145E-8	0.000000	0.000000	0.000000	4.400000E-8	0.224580	4.460493E-8	0.000000	0.000000	0.000000
2.800000E-8	0.165438	3.919328E-8	0.000000	0.000000	0.000000	6.800000E-8	0.032454	2.843789E-8	0.000000	0.000000	0.000000
0.000000	0.413512	4.487752E-8	0.000000	0.000000	0.000000	3.200000E-8	0.280359	6.210662E-8	0.000000	0.000000	0.000000
3.200000E-8	0.226058	3.164833E-8	0.000000	0.000000	0.000000	6.400000E-8	0.063102	7.795245E-8	0.000000	0.000000	0.000000
4.000000E-8	0.137673	3.064736E-8	0.000000	0.000000	0.000000	7.600000E-8	0.064858	5.297292E-8	0.000000	0.000000	0.000000
0.000000	0.402757	3.088204E-8	0.000000	0.000000	0.000000	2.800000E-8	0.672054	4.573021E-8	0.000000	0.000000	0.000000
3.200000E-8	0.201921	3.122086E-8	0.000000	0.000000	0.000000	6.400000E-8	0.226661	4.035278E-8	0.000000	0.000000	0.000000
2.000000E-8	0.217836	3.727312E-8	0.000000	0.000000	0.000000	6.400000E-8	0.008765	6.578155E-8	0.000000	0.000000	0.000000
3.600000E-8	0.173128	2.999332E-8	0.000000	0.000000	0.000000	7.200000E-8	0.128029	4.219243E-8	0.000000	0.000000	0.000000
